2025-12-15 11:21:37.179 | INFO | [DB] PING_ACK sent seq=1 tick=7613220
2025-12-15 12:09:53.773 | INFO | Logger init app=DBServer
2025-12-15 12:09:53.812 | INFO | [System] DBServer process started
2025-12-15 12:09:53.829 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-15 12:09:53.829 | INFO | [DBManager] DB initialized successfully.
2025-12-15 12:09:53.830 | INFO | [DBServer] DB Initialized
2025-12-15 12:09:53.830 | INFO | [DBWorker] Started
2025-12-15 12:09:53.830 | INFO | [DBServer] Listening on port 3600
2025-12-15 12:09:53.830 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-15 12:09:53.830 | INFO | [DB] Press Ctrl+C to stop.
2025-12-15 12:09:58.521 | INFO | [DBServer] MainServer connected
2025-12-15 12:09:58.522 | INFO | [DB] PING_REQ received seq=1
2025-12-15 12:09:58.522 | INFO | [DB] PING_ACK sent seq=1 tick=10514563
2025-12-15 12:10:21.219 | INFO | [DBServer] MainServer disconnected
2025-12-15 12:10:51.362 | INFO | Logger init app=DBServer
2025-12-15 12:10:51.403 | INFO | [System] DBServer process started
2025-12-15 12:10:51.423 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-15 12:10:51.423 | INFO | [DBManager] DB initialized successfully.
2025-12-15 12:10:51.423 | INFO | [DBServer] DB Initialized
2025-12-15 12:10:51.423 | INFO | [DBWorker] Started
2025-12-15 12:10:51.423 | INFO | [DBServer] Listening on port 3600
2025-12-15 12:10:51.423 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-15 12:10:51.423 | INFO | [DB] Press Ctrl+C to stop.
2025-12-15 12:10:56.431 | INFO | [DBServer] MainServer connected
2025-12-15 12:10:56.431 | INFO | [DB] PING_REQ received seq=1
2025-12-15 12:10:56.431 | INFO | [DB] PING_ACK sent seq=1 tick=10572473
2025-12-15 12:11:19.966 | INFO | [DBServer] MainServer disconnected
2025-12-16 01:46:39.076 | INFO | Logger init app=DBServer
2025-12-16 01:46:39.117 | INFO | [System] DBServer process started
2025-12-16 01:46:39.177 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-16 01:46:39.177 | INFO | [DBManager] DB initialized successfully.
2025-12-16 01:46:39.177 | INFO | [DBServer] DB Initialized
2025-12-16 01:46:39.177 | INFO | [DBWorker] Started
2025-12-16 01:46:39.178 | INFO | [DBServer] Listening on port 3600
2025-12-16 01:46:39.178 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-16 01:46:39.178 | INFO | [DB] Press Ctrl+C to stop.
2025-12-16 01:46:44.576 | INFO | [DBServer] MainServer connected
2025-12-16 01:46:44.576 | INFO | [DB] PING_REQ received seq=1
2025-12-16 01:46:44.576 | INFO | [DB] PING_ACK sent seq=1 tick=22288724
2025-12-16 01:47:20.754 | INFO | [DB] FindAccount loginId='test1' (len=5)
2025-12-16 01:47:20.754 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='test1' LIMIT 1;
2025-12-16 01:47:20.776 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=1 exists=1
2025-12-16 01:47:20.782 | INFO | [DB] UpdateLastLogin success. accountId=5
2025-12-16 01:47:42.828 | INFO | [DB] FindAccount loginId='test1' (len=5)
2025-12-16 01:47:42.828 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='test1' LIMIT 1;
2025-12-16 01:47:42.829 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=3 exists=1
2025-12-16 01:47:52.699 | INFO | [DB] FindAccount loginId='t' (len=1)
2025-12-16 01:47:52.700 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='t' LIMIT 1;
2025-12-16 01:47:52.700 | INFO | [DB][SQL] no row for login_id='t'
2025-12-16 01:47:52.700 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=4 exists=0
2025-12-16 01:48:08.484 | INFO | [DB] FindAccount loginId='test1' (len=5)
2025-12-16 01:48:08.485 | INFO | [DB][SQL] SELECT account_id, pw_hash, pw_salt, status FROM account WHERE login_id='test1' LIMIT 1;
2025-12-16 01:48:08.485 | INFO | [DB] DB_FIND_ACCOUNT_ACK sent seq=5 exists=1
2025-12-16 01:48:08.502 | INFO | [DB] UpdateLastLogin success. accountId=5
2025-12-16 01:48:14.478 | INFO | [DBServer] MainServer disconnected
2025-12-16 02:11:45.587 | INFO | Logger init app=DBServer
2025-12-16 02:11:45.625 | INFO | [System] DBServer process started
2025-12-16 02:11:45.644 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-16 02:11:45.644 | INFO | [DBManager] DB initialized successfully.
2025-12-16 02:11:45.644 | INFO | [DBServer] DB Initialized
2025-12-16 02:11:45.644 | INFO | [DBWorker] Started
2025-12-16 02:11:45.645 | INFO | [DBServer] Listening on port 3600
2025-12-16 02:11:45.645 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-16 02:11:45.645 | INFO | [DB] Press Ctrl+C to stop.
2025-12-16 02:11:49.894 | INFO | [DBServer] MainServer connected
2025-12-16 02:11:49.894 | INFO | [DB] PING_REQ received seq=1
2025-12-16 02:11:49.894 | INFO | [DB] PING_ACK sent seq=1 tick=23794042
2025-12-16 02:13:07.784 | INFO | [DBServer] MainServer disconnected
